iter	Passed	Remaining
0	184	184537
1	226	113235
2	267	88738
3	305	76071
4	317	63090
5	357	59174
6	395	56047
7	433	53739
8	473	52125
9	511	50659
10	549	49414
11	587	48382
12	626	47537
13	666	46973
14	706	46417
15	746	45921
16	779	45063
17	810	44223
18	842	43509
19	875	42908
20	906	42280
21	939	41783
22	961	40835
23	995	40486
24	1026	40035
25	1059	39683
26	1094	39459
27	1132	39308
28	1169	39152
29	1204	38937
30	1238	38704
31	1273	38537
32	1307	38308
33	1342	38146
34	1375	37925
35	1407	37695
36	1440	37502
37	1473	37312
38	1505	37105
39	1537	36910
40	1570	36741
41	1602	36546
42	1634	36385
43	1668	36245
44	1702	36122
45	1735	36001
46	1767	35841
47	1798	35674
48	1829	35512
49	1861	35373
50	1892	35214
51	1925	35104
52	1958	34995
53	1990	34866
54	2022	34752
55	2052	34606
56	2083	34476
57	2116	34367
58	2148	34265
59	2181	34183
60	2213	34070
61	2246	33994
62	2279	33906
63	2312	33822
64	2346	33753
65	2378	33656
66	2411	33577
67	2442	33477
68	2472	33357
69	2503	33258
70	2535	33180
71	2567	33096
72	2598	32998
73	2630	32919
74	2663	32845
75	2694	32758
76	2727	32692
77	2760	32631
78	2792	32555
79	2825	32489
80	2858	32426
81	2889	32353
82	2921	32272
83	2952	32199
84	2984	32130
85	3014	32038
86	3048	31988
87	3080	31923
88	3112	31864
89	3144	31798
90	3176	31731
91	3208	31662
92	3238	31588
93	3272	31540
94	3304	31475
95	3336	31420
96	3368	31359
97	3399	31285
98	3431	31225
99	3463	31170
100	3494	31105
101	3526	31043
102	3559	31000
103	3591	30941
104	3624	30896
105	3656	30840
106	3689	30788
107	3720	30728
108	3752	30678
109	3785	30624
110	3815	30561
111	3848	30516
112	3880	30462
113	3914	30421
114	3947	30377
115	3978	30318
116	4010	30269
117	4043	30224
118	4076	30176
119	4107	30124
120	4140	30079
121	4175	30048
122	4207	30000
123	4239	29948
124	4270	29890
125	4302	29845
126	4335	29803
127	4368	29758
128	4400	29710
129	4432	29665
130	4465	29619
131	4498	29582
132	4532	29547
133	4563	29493
134	4593	29435
135	4625	29386
136	4655	29326
137	4684	29263
138	4717	29220
