iter	Passed	Remaining
0	2	2890
1	5	2736
2	12	4152
3	15	3827
4	24	4864
5	26	4392
6	28	4058
7	30	3780
8	32	3568
9	34	3397
10	36	3297
11	38	3182
12	40	3082
13	43	3031
14	45	2978
15	47	2905
16	49	2847
17	52	2844
18	54	2794
19	56	2748
20	58	2716
21	59	2662
22	61	2615
23	63	2587
24	65	2557
25	67	2524
26	69	2494
27	70	2462
28	72	2434
29	74	2410
30	76	2388
31	78	2384
32	81	2396
33	83	2366
34	85	2343
35	87	2338
36	88	2313
37	90	2290
38	92	2283
39	94	2277
40	96	2264
41	98	2254
42	100	2239
43	102	2219
44	103	2204
45	105	2185
46	107	2171
47	110	2181
48	111	2170
49	113	2158
50	115	2143
51	116	2129
52	118	2113
53	119	2095
54	121	2092
55	123	2089
56	125	2074
57	126	2060
58	128	2050
59	130	2038
60	131	2021
61	132	2009
62	134	1997
63	135	1985
64	137	1981
65	139	1971
66	140	1958
67	141	1944
68	143	1936
69	145	1927
70	146	1920
71	148	1911
72	149	1900
73	151	1895
74	154	1900
75	155	1893
76	157	1887
77	158	1878
78	160	1868
79	161	1858
80	162	1847
81	164	1839
82	165	1827
83	167	1822
84	169	1819
85	170	1813
86	172	1808
87	173	1801
88	175	1796
89	177	1789
90	178	1782
91	180	1778
92	182	1780
93	184	1775
94	185	1767
95	187	1761
96	188	1755
97	190	1750
98	191	1744
99	193	1739
100	195	1737
101	197	1736
102	198	1732
103	200	1730
104	202	1727
105	204	1722
106	205	1717
107	207	1713
108	209	1712
109	211	1711
110	213	1707
111	214	1700
112	216	1695
113	217	1692
114	219	1688
115	220	1683
116	222	1676
117	224	1675
118	226	1677
119	228	1674
120	230	1672
121	231	1666
122	233	1662
123	234	1657
124	236	1653
125	238	1652
126	239	1649
127	241	1645
128	243	1641
129	244	1637
130	246	1632
131	247	1629
132	249	1625
133	250	1621
134	253	1623
135	255	1623
136	256	1618
137	258	1614
138	259	1609
139	261	1606
140	263	1603
141	264	1596
142	265	1592
143	267	1592
144	269	1590
145	271	1587
146	273	1585
147	274	1581
148	276	1577
149	278	1576
150	279	1573
151	281	1571
152	284	1572
153	285	1568
154	287	1565
155	288	1562
156	290	1558
157	291	1555
158	293	1551
159	294	1548
160	296	1544
161	298	1542
162	299	1539
163	301	1536
164	303	1533
165	304	1530
166	306	1526
167	307	1523
168	309	1522
169	311	1521
170	313	1519
171	314	1516
172	316	1513
173	318	1510
174	319	1508
175	321	1505
176	323	1503
177	325	1504
178	327	1502
179	329	1499
180	330	1496
181	332	1493
182	333	1489
183	334	1484
184	336	1481
185	337	1477
186	339	1474
187	340	1472
188	342	1469
189	343	1465
190	345	1462
191	346	1458
192	347	1454
193	349	1451
194	350	1447
195	351	1443
196	353	1439
197	355	1438
198	356	1436
199	358	1433
200	360	1431
201	361	1428
202	363	1425
203	365	1424
204	366	1421
205	368	1419
206	370	1418
207	371	1416
208	373	1413
209	375	1410
210	376	1407
211	377	1404
212	379	1401
213	380	1398
214	382	1394
215	383	1392
216	385	1391
217	387	1389
218	388	1386
219	390	1383
220	391	1380
221	393	1378
222	394	1375
223	396	1372
224	399	1374
225	400	1372
226	402	1370
227	404	1368
228	405	1366
229	407	1363
230	408	1360
231	410	1358
232	411	1355
233	413	1354
234	415	1353
235	417	1350
236	418	1348
237	420	1344
238	421	1341
239	422	1338
240	424	1337
241	425	1334
242	427	1332
243	429	1331
244	431	1329
245	432	1326
246	434	1323
247	435	1321
248	437	1318
249	438	1315
250	439	1312
251	441	1310
252	443	1309
253	445	1307
254	446	1305
255	448	1302
256	449	1300
257	451	1297
258	452	1295
259	454	1292
260	455	1290
261	457	1287
262	459	1286
263	460	1284
264	462	1281
265	463	1279
266	465	1277
267	466	1275
268	468	1272
269	469	1270
270	471	1268
271	473	1267
272	475	1265
273	476	1263
274	478	1261
275	480	1259
276	481	1258
277	483	1256
278	485	1255
279	488	1256
280	490	1254
281	492	1253
282	494	1252
283	495	1250
284	497	1248
285	499	1246
286	501	1245
287	503	1245
288	505	1243
289	507	1242
290	509	1240
291	510	1238
292	512	1236
293	515	1238
294	517	1237
295	519	1236
296	521	1235
297	523	1233
298	525	1231
299	527	1229
300	529	1228
301	531	1229
302	533	1227
303	535	1225
304	536	1223
305	539	1222
306	540	1220
307	542	1218
308	544	1218
309	546	1217
310	548	1215
311	550	1213
312	551	1211
313	553	1209
314	556	1209
315	558	1208
316	560	1207
317	562	1206
318	564	1206
319	566	1204
320	568	1202
321	569	1200
322	571	1197
323	573	1197
324	575	1196
325	577	1193
326	579	1192
327	581	1190
328	582	1188
329	584	1186
330	585	1184
331	587	1182
332	589	1181
333	591	1179
334	593	1177
335	594	1175
336	596	1173
337	598	1171
338	599	1169
339	601	1167
340	603	1165
341	605	1164
342	606	1162
343	608	1160
344	610	1158
345	611	1156
346	613	1153
347	614	1151
348	616	1149
349	618	1148
350	620	1146
351	621	1144
352	623	1142
353	624	1139
354	625	1136
355	627	1134
356	629	1132
357	630	1131
358	632	1129
359	634	1127
360	635	1124
361	637	1122
362	638	1120
363	639	1117
364	641	1115
365	642	1113
366	643	1110
367	645	1108
368	647	1107
369	649	1105
370	651	1103
371	652	1101
372	654	1099
373	655	1097
374	657	1095
375	658	1093
376	660	1090
377	661	1088
378	663	1086
379	664	1084
380	666	1082
381	667	1080
382	669	1078
383	670	1076
384	672	1074
385	673	1071
386	675	1069
387	677	1068
388	678	1066
389	680	1064
390	681	1061
391	683	1059
392	684	1057
393	686	1055
394	687	1053
395	689	1050
396	690	1048
397	692	1047
398	693	1045
399	695	1043
400	696	1041
401	698	1038
402	699	1036
403	701	1034
404	702	1032
405	703	1029
406	705	1027
407	707	1026
408	708	1024
409	710	1022
410	711	1020
411	713	1018
412	714	1016
413	716	1014
414	717	1011
415	719	1009
416	720	1007
417	722	1005
418	723	1003
419	725	1001
420	727	1000
421	728	997
422	729	995
423	731	993
424	732	991
425	734	989
426	735	987
427	737	985
428	738	983
429	740	981
430	741	979
431	743	977
432	745	975
433	746	974
434	748	971
435	750	970
436	752	969
437	754	967
438	756	966
439	757	964
440	759	962
441	761	960
442	762	959
443	764	957
444	768	958
445	770	957
446	772	955
447	773	953
448	775	951
449	776	949
450	777	946
451	779	944
452	781	943
453	782	941
454	784	939
455	785	937
456	787	935
457	788	933
458	789	930
459	790	928
460	792	926
461	793	924
462	796	923
463	797	921
464	799	919
465	800	917
466	802	915
467	803	913
468	804	911
469	806	909
470	807	907
471	809	905
472	811	904
473	813	902
474	814	900
475	816	898
476	817	896
477	818	894
478	820	892
479	821	889
480	823	888
481	824	886
482	826	884
483	828	882
484	829	881
485	831	879
486	832	877
487	833	875
488	835	872
489	836	871
490	838	868
491	840	867
492	841	865
493	843	863
494	844	861
495	846	859
496	847	858
497	849	856
498	851	855
499	853	853
500	854	851
501	856	849
502	858	847
503	859	846
504	861	844
505	863	842
506	864	841
507	866	839
508	868	837
509	870	836
510	871	834
511	873	832
512	875	830
513	876	828
514	878	827
515	881	826
516	882	824
517	884	822
518	886	821
519	888	819
520	889	817
521	891	816
522	893	814
523	895	813
524	897	812
525	899	810
526	901	809
527	903	807
528	905	806
529	907	804
530	909	803
531	911	802
532	913	800
533	915	798
534	916	796
535	918	795
536	920	793
537	922	792
538	926	792
539	928	790
540	930	789
541	931	787
542	933	785
543	935	784
544	937	782
545	940	782
546	942	780
547	944	778
548	945	777
549	947	775
550	949	773
551	950	771
552	952	769
553	954	768
554	956	766
555	958	765
556	959	763
557	961	761
558	963	759
559	964	757
560	966	756
561	968	754
562	970	752
563	972	751
564	973	749
565	975	747
566	976	745
567	978	744
568	979	742
569	981	740
570	984	739
571	985	737
572	987	735
573	989	734
574	990	732
575	992	730
576	993	728
577	995	726
578	997	725
579	999	723
580	1000	721
581	1001	719
582	1003	717
583	1004	715
584	1005	713
585	1007	711
586	1008	709
587	1009	707
588	1011	705
589	1013	704
590	1014	702
591	1016	700
592	1017	698
593	1018	696
594	1020	694
595	1021	692
596	1022	690
597	1023	688
598	1025	686
599	1027	684
600	1028	682
601	1030	681
602	1031	679
603	1033	677
604	1034	675
605	1036	673
606	1037	672
607	1039	670
608	1041	668
609	1042	666
610	1044	664
611	1045	663
612	1047	661
613	1048	659
614	1050	657
615	1051	655
616	1052	653
617	1054	651
618	1055	649
619	1057	647
620	1058	646
621	1059	644
622	1061	642
623	1062	640
624	1063	638
625	1064	636
626	1066	634
627	1067	632
628	1069	630
629	1070	628
630	1072	626
631	1073	625
632	1074	623
633	1076	621
634	1077	619
635	1079	617
636	1080	615
637	1081	613
638	1083	611
639	1084	610
640	1086	608
641	1087	606
642	1089	604
643	1090	602
644	1091	600
645	1093	599
646	1094	597
